BID Name:,Borough,Service Area (Linear Feet),Full-time staff,Sanitation staff employed,Public Safety staff employed,Part-time staff,Ground floor storefront businesses,Upper level storefront businesses,Ground floor vacant storefronts,Upper level vacant storefronts,BID provides supplemental sanitation services,Type of sanitation services,Types of duties assigned to sanitation workers,Days per week of sanitation services,Hours logged by sanitation workers,Incidents of graffiti removed,Trash bags collected,Trash and recycling receptacles serviced,BID provides supplemental public safety services,Type of public safety services,Duties assigned to public safety personnel,Hours logged by public safety officers,Interactions with public safety officers,BID provides supplemental streetscape and beautification services,Planters maintained,Tree pits maintained,Banners maintained,Public art installations sponsored,Street furniture elements maintained,Wayfinding elements maintained,Lighting elements maintained,Other infrastructure elements maintained,Public spaces maintained,BID has holiday lighting program,Communication channels used,Marketing materials distributed,Public events coordinated,Estimated attendees to public events coordinated,Allocates staff salaries,Assessment revenue,Contract revenue,Contributions,Fundraising and special event revenue,Government grants,Program service revenue,Interest income,Miscellaneous income,Total support and revenue,Sanitation expenses,Public safety expenses,"Marketing, holiday lighting, and special event expenses",Streetscape & beautification expenses,Other program expenses,Capital improvement expenses,Debt service expenses,Salaries,Outside contractor expenses,Insurance costs,Rent and utilities,Supplies and equipment costs,Other G&A expenses,Total expenses
Bayside Village,QN,6690,1,1,0,0,151,49,9,4,Yes,Contracted,Street Sweeping and Bagging; Graffiti Removal,6,2196,142,17237,41,No,,,,,Yes,,,27,,4,,,,1,Yes,Direct mailings; Flyers; Email bulletins; Social media,11800,17,4950,No,180000,,,," 26,000 ", 625 ,," 4,800 ",211425,43624, -   ,55707," 2,030 ", -   , -   , -   ," 40,253 "," 5,400 ",7486,7200,5787," 16,051 ",183538
Bed-Stuy Gateway,BK,14310,2,8,1,2,385,,85,,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,12972,1482,24377,95,Yes,In-house,Monitoring security cameras; Crime prevention workshops; Street patrol,1440,400,Yes,2,96,0,1,12,6,0,0,1,Yes,Paid Advertising; Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,14000,25,5000,No,675000,," 3,760 ",," 52,000 ",,,,730760,229719," 9,511 ",104897, -   , -   ,, -   ," 240,884 "," 14,063 ",7692,21005,5458," 5,363 ",638591
Belmont,BX,27170,2,2,1,1,370,,17,,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal,5,2640,68,18200,70,Yes,Contracted,Monitoring security cameras; Street patrol; Traffic mitigation,2160,,Yes,,,93,1,,,,,1,Yes,Paid Advertising; Flyers; Email bulletins; Social media,10000,7,23000,No,440000,,," 54,843 "," 40,000 "," 37,363 ", 998 ,,573203,47435," 69,807 ",132426, 500 , -   , -   , -   ," 138,368 "," 29,832 ",4145,27433,11933," 30,047 ",491926
Brighton Beach,BK,10530,1,2,0,2,145,,3,,Yes,Contracted,Street Sweeping and Bagging; Graffiti Removal,7,3640,120,13832,38,No,,,,,No,,,,,,,,,,Yes,Paid Advertising; Door-to-door visits; Flyers; Social media,4700,4,2400,No,220000,,,,,,,,220000,68000, -   ,54350, -   , -   , -   , -   ," 57,000 ",,1600,,800," 6,050 ",187800
Bryant Park Corporation,MN,9310,71,37,12,21,74,,11,,Yes,In-house,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,76960,114,98000,171,Yes,In-house,Street patrol; Coordination with NYPD,25552,4479,Yes,216,4,21,,5145,48,457,5,1,No,Paid Advertising; Door-to-door visits; Flyers; Email bulletins; Social media,101000,2734,199000,No,1600000," 3,904,234 "," 5,403,689 ", -   , -   ," 9,140,250 "," 3,324 "," 28,657 ",20080154,2090915," 1,123,060 ",11454409," 1,448,308 "," 901,111 "," 970,216 "," 305,662 "," 914,025 "," 112,265 ",76458,56472,25519," 336,057 ",19814477
Chinatown,MN,55560,2,16,0,3,1720,,173,,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,33366,2377,219400,246,No,,,,,Yes,42,226,58,0,1,20,430,98,2,Yes,Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,34350,43,127740,Yes,1300000, -   ," 77,274 "," 32,857 "," 55,881 ",, 448 ,,1466460,712500, -   ,149353, -   , -   , -   , -   ," 269,158 "," 52,360 ",21858,114491,8971," 56,676 ",1385367
Church Avenue,BK,7580,2,1,0,4,175,,12,,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Street Furniture Maintenance,7,3571,29,31000,37,No,,,,,No,,,,,,,,,,Yes,Paid Advertising; Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,800,8,6306,No,188500,,," 12,775 "," 5,270 ",, 66 ," 7,725 ",214336,52917, -   ,29723, -   , -   , -   , -   ," 90,953 "," 18,830 ",6486,6184,824," 3,934 ",209851
Columbus Avenue,MN,8010,2,2,0,1,196,4,13,0,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,3640,1440,20790,78,No,,,,,Yes,0,148,30,1,12,0,0,117,1,Yes,Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,110000,5,3500,No,368800, -   ," 182,998 "," 182,367 ",," 18,750 ", -   ,,752915,62230," 5,500 ",33625," 42,211 ",, -   , -   ," 197,678 "," 154,440 ",11483,10061,220200, -   ,737428
Columbus-Amsterdam,MN,11220,1,7,0,9,215,0,22,,Yes,Both or Other,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,4320,1200,14000,28,No,,,,,Yes,0,200,0,1,8,0,0,266,1,Yes,Paid Advertising; Door-to-door visits; Flyers; Email bulletins; Social media,156060,24,5150,Yes,350000, -   ," 4,731 ",,,, 130 , 710 ,355571,102046," 24,302 ",74516," 77,007 ", -   , -   , -   ," 15,927 ", 650 ,364,3278,210, 151 ,298451
Court-Livingston-Schermerhorn,BK,28020,3,12,1,0,167,,13,,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,27495,339,49800,107,Yes,Contracted,Monitoring security cameras; Street patrol; Coordination with NYPD,4160,,Yes,0,200,99,0,47,4,47,,2,Yes,Door-to-door visits; Flyers; Email bulletins; Social media,18950,1,1000,Yes,907900,,, -   ,, -   , 183 ,,908083,398871," 69,459 ",48377," 94,944 ", -   , -   , -   ," 109,115 "," 15,638 ",12112,6281,1084," 127,852 ",883733
Downtown Alliance,MN,121820,59,60,60,18,1200,,0,,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,130639,1084,120406,395,Yes,Contracted,Street patrol; Coordination with NYPD,100274,931258,Yes,234,0,0,0,1,708,110,57,10,Yes,Paid Advertising; Direct mailings; Door-to-door visits; Email bulletins; Social media,1020552,12,50000,Yes,15900000," 1,754,593 "," 294,973 ",,," 287,588 "," 30,228 "," 928,640 ",19196022,4954315," 4,096,341 ",3164274, -   ," 4,554,407 "," 336,711 ", -   ," 1,626,503 ",,,,,,18732551
Downtown Flushing Transit Hub,QN,11110,2,8,0,2,500,,1,,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Street Furniture Maintenance,7,15500,200,92850,65,No,,,,,Yes,35,0,65,0,0,6,13,0,2,Yes,Paid Advertising; Direct mailings; Door-to-door visits; Flyers; Social media,14050,10,25000,No,380000,,," 128,650 "," 195,420 ",, 640 ,,704710,334862," 18,000 ",93098," 15,320 "," 39,775 ", -   , -   ," 171,001 "," 9,365 ",3980,20954,3607," 7,302 ",717264
DUMBO Improvement District,BK,36680,3,7,0,8,125,700,4,,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,11212,45,37000,65,No,,,,,Yes,36,11,47,12,169,4,1,0,3,No,Paid Advertising; Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,5124,90,60000,Yes,677760,," 56,400 ",," 4,500 "," 183,272 ", -   , 109 ,922041,154975, -   ,537862," 33,371 "," 107,083 ", -   , -   ," 73,271 "," 4,482 ",1061,4346,1804," 8,714 ",926969
East Brooklyn,BK,54560,0,3,0,0,64,0,,0,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal,3,2318,0,1435,0,No,,,,,No,,,,,,,,,,No,Direct mailings; Door-to-door visits; Flyers; Email bulletins,415,3,825,No,141419, -   , -   , -   , -   , -   , -   , -   ,141419,51434, -   ,6699, -   ," 16,875 ",, -   ," 53,321 "," 3,000 ",1354,3500,250," 3,069 ",139502
East Midtown Partnership,MN,49480,3,44,7,1,783,72,77,12,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,63198,428,142612,280,Yes,Contracted,Street patrol; Coordination with NYPD,14326,15829,Yes,7,102,35,0,0,0,0,600,1,Yes,Paid Advertising; Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,13450,8,7250,No,2200000, -   , -   , -   , -   ," 1,600 ", 120 , -   ,2201720,794415," 393,989 ",204089," 158,111 "," 103,515 ", -   , -   ," 492,464 "," 22,189 ",25215,70960,68080,,2333027
Fifth Avenue,MN,22220,10,8,21,,152,30,5,2,Yes,Both or Other,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal,7,12962,241,62500,79,Yes,In-house,Street patrol; Coordination with NYPD,33156,227044,Yes,0,0,0,0,0,0,100,,0,Yes,Direct mailings; Door-to-door visits; Flyers; Email bulletins,1200,1,256,No,3207000,,,,,, 965 ,,3207965,602540," 1,274,100 ", -   ," 38,680 ", -   , -   , -   ," 423,773 ", -   ,339291,212962,26627," 138,114 ",3056087
Flatbush Avenue,BK,7480,2,1,2,4,311,,30,,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal,7,5653,214,78000,72,Yes,Contracted,Street patrol; Coordination with NYPD,3267,3650,No,,,,,,,,,,Yes,Paid Advertising; Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,9515,7,15642,No,314520,,," 27,415 "," 4,775 ",, 34 ,,346744,107420," 60,560 ",33892, -   , -   , -   , -   ," 105,054 "," 27,500 ",13796,6184,1691," 2,677 ",358774
Flatbush-Nostrand Junction,BK,9110,1,4,0,1,255,,5,,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal,7,996,543,13426,49,No,,,,,Yes,0,99,20,0,0,0,0,20,0,Yes,Flyers; Email bulletins; Social media,10000,10,2000,No,200000,," 9,000 "," 9,000 "," 100,000 ",,,,318000,119000, -   ,60000, -   ," 35,000 ", -   , -   ," 90,000 "," 19,000 ",5000,,3000,,331000
Flatiron/23rd Street Partnership,MN,47610,5,37,9,3,571,4500,35,,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,46339,23471,193773,192,Yes,Contracted,Street patrol; Coordination with NYPD,14979,15734,Yes,192,180,99,1,293,1,0,180,4,No,Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,108217,95,5378,Yes,2200000," 105,067 "," 531,729 ",,,," 13,135 ",,2849931,945490," 374,698 ",493664," 641,609 "," 92,930 ", -   , -   ," 95,489 "," 2,963 ",41493,121583,8817," 73,100 ",2891836
Fordham Road,BX,16220,3,8,0,9,266,76,9,,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,19968,120,100000,100,No,,,,,Yes,30,3,20,1,16,4,0,0,3,Yes,Paid Advertising; Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,43000,30,135000,No,670000,," 50,462 ",," 134,666 ",, 177 ,,855305,269129," 23,146 ",169008," 14,580 ", -   , -   , -   ," 285,692 ",,10708,34621,12897," 49,425 ",869206
Forest Avenue,SI,8190,0,2,0,2,134,,3,,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal,7,2688,1300,24000,60,No,,,,,Yes,,50,27,,,,,,0,Yes,Paid Advertising; Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,6500,2,2000,No,165875,,," 2,289 "," 3,500 ", 500 , 79 ,,172243,56295, -   ,43440," 1,587 "," 4,530 ", -   , -   ," 52,250 ",,2200,9350,," 9,871 ",179523
Fulton Area Business (FAB) Alliance,BK,20400,2,5,0,1,212,,17,,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,8460,975,64000,100,Yes,Both or Other,Coordination with NYPD,150,0,Yes,39,175,50,1,20,6,0,0,2,Yes,Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,47100,22,3000,Yes,375000, -   ," 2,300 "," 23,232 "," 92,000 ",,,,492532,171481," 5,657 ",212242," 48,561 ", -   , -   , -   ," 15,601 "," 2,309 ",909,12363,2270," 2,599 ",473992
Fulton Mall Improvement Association,BK,16300,7,28,10,0,200,,14,,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,36283,37,52500,125,Yes,Contracted,Monitoring security cameras; Street patrol; Coordination with NYPD,20800,,Yes,4,108,61,1,185,11,27,,2,Yes,Door-to-door visits; Flyers; Email bulletins; Social media,18950,12,3000,Yes,1904500,,," 7,878 ",," 30,147 ", 880 ,,1943405,447986," 392,223 ",90240," 141,696 ", -   , -   , -   ," 303,209 "," 48,096 ",188890,17048,3179," 153,385 ",1785952
Garment District,MN,44000,16,40,22,2,690,0,48,0,Yes,Both or Other,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,70938,2774,88104,123,Yes,In-house,Monitoring security cameras; Street patrol; Coordination with NYPD,56160,153443,Yes,172,120,108,15,653,305,345,21,5,No,Paid Advertising; Direct mailings; Email bulletins; Social media,41630,16,1000000,Yes,7800000,,,,," 261,354 ",,,8061354,2452459," 1,529,035 ",482161," 1,012,263 "," 64,282 ", -   , -   ," 1,185,137 "," 159,333 ",42991,441429,107066," 268,261 ",7744417
Graham Avenue,BK,9810,1,3,0,6,180,,9,,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,3150,30,2400,34,No,,,,,Yes,0,11,25,4,3,0,,8,2,Yes,Paid Advertising; Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,1565,32,22600,No,137638,," 1,000 "," 8,500 "," 5,775 "," 6,909 ",, 53 ,159875,63988, -   ,22640, -   ," 31,357 ", -   , -   ," 63,522 "," 5,250 ",2342,17487,1733," 8,564 ",216884
Grand Central Partnership,MN,73960,39,57,39,4,914,,73,,Yes,In-house,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal,7,115339.42,1982,194354,290,Yes,In-house,Crime prevention workshops; Street patrol; Traffic mitigation; Coordination with NYPD,63137.5,286989,Yes,583,221,0,0,12,664,763,353,0,Yes,Paid Advertising; Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,285012,54,8500,Yes,12709372,,,,," 272,876 "," 298,853 "," 420,866 ",13701967,3161062," 2,520,926 ",831986," 2,053,820 "," 798,528 ", -   ," 1,800,000 "," 1,030,969 "," 58,179 ",47313,474448,20454," 106,192 ",12903877
Grand Street,BK,7770,2,2,0,1,201,,30,,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Gum Removal,7,2800,300,2700,,No,,,,,Yes,,39,26,,4,30,,,0,Yes,Paid Advertising; Door-to-door visits; Flyers; Email bulletins; Social media,8100,6,3000,Yes,226460, -   ," 2,450 "," 2,422 "," 47,037 ", -   , 119 ," 1,422 ",279910,73617, -   ,71040," 15,199 "," 46,738 ", -   , -   ," 52,739 "," 6,172 ",1563,6375,3284," 3,070 ",279797
HUB/3rd Avenue,BX,3450,3,5,4,1,122,78,11,,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,5376,48,54750,26,Yes,Both or Other,Monitoring security cameras; Crime prevention workshops; Street patrol; Coordination with NYPD,6720,365,Yes,0,10,23,0,0,2,0,5,1,Yes,Paid Advertising; Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,2200,11,26000,No,450927, -   , -   ,,,, 152 ," 1,966 ",453045,99134," 91,463 ",159478, -   , -   , -   , -   ," 45,898 "," 110,839 ",2915,8343,4303, -   ,522373
Hudson Square Connection,MN,24950,7,0,0,3,99,1000,9,,No,,,,,,,,No,,,,,Yes,30,250,30,1,0,3,0,0,5,Yes,Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,9200,6,2000,Yes,2500000, -   , -   , -   ," 353,000 "," 6,250 "," 13,000 ",,2872250, -   , -   ,668000," 903,431 ", -   ," 2,049,696 "," 83,682 "," 95,807 "," 106,105 ",14192,136104,20671," 8,121 ",4085809
Hudson Yards/Hells Kitchen Alliance,MN,46700,4,8,2,3,163,,19,,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,15202,4820,62950,88,Yes,Contracted,Monitoring security cameras; Street patrol,2912,8,Yes,80,200,40,1,250,0,0,0,6,Yes,Paid Advertising; Direct mailings; Flyers; Email bulletins; Social media,2000,50,1800,Yes,1200000, -   ," 3,500 ", -   ," 33,449 ", -   ," 1,763 "," 1,051 ",1239763,334157," 57,775 ",36627," 167,708 ", -   ," 265,910 ", -   ," 301,454 "," 42,755 ",81401,71913,30498,,1390198
Jamaica Center,QN,9880,3,8,0,3,303,,20,,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal,7,17520,12574,83000,100,No,,,,,Yes,0,0,69,5,75,0,0,0,0,Yes,Paid Advertising; Door-to-door visits; Flyers; Email bulletins; Social media,8000,15,3000,No,877500, -   ,,," 23,987 "," 3,150 ", 534 ,,905171,335073, -   ,36516, -   ," 83,952 ", -   , -   ," 251,059 "," 18,781 ",151399,8799,7397, -   ,892976
Jerome-Gun Hill,BX,8070,0,3,0,2,208,17,14,,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Gum Removal,7,6916,3500,65000,63,Yes,Both or Other,Monitoring security cameras; Coordination with NYPD,0,0,Yes,4,121,,,,,,,1,Yes,Paid Advertising; Door-to-door visits; Flyers; Email bulletins; Social media,5500,6,5000,No,259000," 24,960 ",," 23,406 ",,, -   ,,307366,135565," 1,261 ",88250," 13,175 "," 1,298 ", -   , -   , -   ," 44,000 ",9000, -   ,8732, 185 ,301466
Kings Highway,BK,7680,1,2,,1,130,,7,,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Graffiti Removal,5,4160,3100,12000,15,No,,,,,No,,,,,,,,,,Yes,Email bulletins; Social media,1500,0,0,No,293262,,,,," 4,075 ",,,297337,92550, -   ,57279, -   , -   , -   , -   ," 94,984 "," 7,100 ",2968,24105,9738," 8,613 ",297337
Kingsbridge,BX,13140,1,3,0,1,184,14,20,,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal,7,6900,114,28000,100,No,,,,,Yes,4,110,45,0,4,0,0,0,2,Yes,Direct mailings; Door-to-door visits; Flyers; Email bulletins,550,0,0,No,329000,,,,,, 377 ,,329377,137685, -   ,81798," 19,532 ", -   , -   , -   ," 84,287 "," 10,000 ",11027,22026,13566,,379921
Lincoln Square,MN,28680,5,14,10,12,234,,16,,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,32944,448,80971,139,Yes,Contracted,Crime prevention workshops; Street patrol; Coordination with NYPD,20806,20582,Yes,60,0,144,0,498,2,0,,15,Yes,Paid Advertising; Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,257250,15,21600,Yes,2300000,," 395,985 "," 106,655 "," 30,500 ",, 725 ,,2833865,853278," 509,322 ",717772," 250,548 "," 91,611 ", -   , -   ," 127,842 "," 2,159 ",10878,153707,8486," 90,770 ",2816373
Long Island City Partnership,QN,25460,2,4,1,1,45,,11,,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,7652,133,33575,46,Yes,In-house,Monitoring security cameras; Crime prevention workshops; Street patrol; Coordination with NYPD,500,,Yes,0,44,180,1,79,2,0,36,3,Yes,Paid Advertising; Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,13365,2,16000,Yes,492470,," 27,000 ",,,, 478 ," 32,823 ",552771,160644," 25,000 ",80155," 208,243 "," 11,869 ", -   , -   ," 23,734 "," 13,800 ",1824, -   ,910,,526178
Lower East Side,MN,10870,7,1,0,0,456,,39,,Yes,In-house,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,6,2236,450,15000,69,No,,,,,Yes,75,0,17,20,75,0,0,0,4,Yes,Paid Advertising; Direct mailings; Email bulletins; Social media,27500,5,55000,Yes,691583,,," 78,533 "," 166,940 "," 615,000 "," 10,476 ",,1562532,224346, -   ,528034," 417,469 ", -   , -   , -   , -   , -   ,17480,110958,64348," 17,253 ",1379888
