BID Name:,Borough,Service Area (Linear Feet),Full-time staff,Sanitation staff employed,Public Safety staff employed,Part-time staff,"Individual businesses (retail, restaurant, office, etc.)",Occupied storefronts,Vacant storefronts,Total storefronts,BID provides supplemental sanitation services,Type of sanitation services,Types of duties assigned to sanitation workers,Days per week of sanitation services,Hours logged by sanitation workers,Incidents of graffiti removed,Trash bags collected,Trash and recycling receptacles serviced,BID provides supplemental public safety services,Type of public safety services,Duties assigned to public safety personnel,Hours logged by public safety officers,Interactions with public safety officers,BID provides supplemental streetscape and beautification services,Planters and hanging baskets maintained,Tree pits maintained,Banners maintained,Public art installations sponsored,Street furniture elements maintained,Wayfinding elements maintained,Lighting elements maintained,Other infrastructure elements maintained,Public spaces maintained,BID has holiday lighting program,Communication channels used,Social media followers,Marketing materials distributed,Public events coordinated,Estimated attendees to public events coordinated,Allocates staff salaries,Assessment revenue,Contract revenue,Program service revenue,Contributions,Fundraising and special event revenue,Government grants,Interest income,Miscellaneous income,Total support and revenue,Sanitation expenses,Public safety expenses,"Marketing, holiday lighting, and special event expenses",Streetscape & beautification expenses,Other program expenses,Capital improvement expenses,Salaries,Outside contractor expenses,Insurance costs,Rent and utilities,Supplies and equipment costs,Other G&A expenses,Total expenses
Bed-Stuy Gateway,BK,14310,2,7,1,12,196,269,41,310,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,11102,"3,842",25719,97,Yes,Both or Other,Monitoring security cameras; Crime prevention workshops; Street patrol; Coordination with NYPD,549,288,Yes,4,75,50,0,25,0,0,50,1,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",6960,19300,16,3000,Yes,675000,$-,$-,$500,"$3,100",$-,$-,$-,678600,290172,12650,"$60,202",103868,14110,,242189,30628,43587,26489,12072,62890,898857
Belmont,BX,27170,2,2,2,2,385,210,22,232,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal,7,3816,58,18200,70,Yes,Contracted,Monitoring security cameras; Street patrol; Traffic mitigation; Coordination with NYPD,5312,120,Yes,0,0,101,0,0,0,0,8 tree guards,1,Yes,Print advertising (i.e. local newspaper); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,278563,16900,13,35000,No,440000,"$6,699","$41,206","$48,896","$48,385","$80,000","$1,097",$69,666351,64117,109725,"$214,460",180,,,155755,77255,3880,29897,1308,25945,682522
Brighton Beach,BK,10530,1,2,0,2,190,85,5,90,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal,7,2550,12,8030,22,No,,,,,No,,,,,,,,,,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Door-to-door visits; Flyers; Social media",500,1500,4,2500,No,220000,$-,$-,$-,$-,"$30,250",$-,$-,250250,89250,,"$49,944",5500,,,58476,5992,4380,2200,760,2340,218842
Bryant Park Corporation,MN,9310,64,38,14,25,I don't know,59,15,74,Yes,In-house,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,80025,107,89000,195,Yes,In-house,Street patrol; Coordination with NYPD,24040,4310,Yes,220,90,51,0,4825,108,353,25,1,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",349400,190000,2800,299740,No,1600000,"$4,015,279","$10,866,848","$5,135,455",$-,$-,"$1,222","$42,236",21661040,2255877,1218742,"$2,790,620",1393167,1405827,120233,979811,112070,115410,105314,19021,82772,21337996
Chinatown,MN,55560,2,20,0,4,2808,1487,202,1689,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,35179,"3,105",92798,243,No,,,,,Yes,16,218,85,1,114,72,416,1136,2,Yes,Print advertising (i.e. local newspaper); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media,4892,109943,56,620385,Yes,1550000,,$-,"$5,040","$34,283","$72,900","$9,408",$-,1671631,922046,,"$84,693",,21299,,254770,74796,23656,88899,17402,8830,1496391
Church Avenue,BK,7580,0,1,0,4,158,172,14,186,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal,7,2527,"1,683",65000,40,No,,,,,No,,,,,,,,,,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media",1540,10800,9,6596,No,203000,$-,"$9,915","$2,000",$-,$-,$76,$-,214991,65349,,"$35,732",,,,87122,18830,6521,6184,824,5297,225859
Columbus Avenue,MN,8010,2,2,0,1,210,190,11,201,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,4368,"1,500",24500,80,No,,,,,Yes,0,138,30,0,12,0,0,147,1,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Door-to-door visits; Email bulletins; Social media; LinkNYC advertising (more info)",6799,110000,4,3000,No,398800,$-,"$12,750","$149,911","$161,458",$-,$-,"$3,870",726789,87400,,"$367,942",40605,10278,8720,215820,6255,8785,10061,16825,13984,786675
Columbus-Amsterdam,MN,11220,1,7,0,6,215,212,13,215,Yes,In-house,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,4180,400,17000,28,Yes,Both or Other,Coordination with NYPD,0,30,Yes,7,200,0,0,8,1,10,28,1,Yes,Print advertising (i.e. local newspaper); Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info),1186,18230,27,6500,Yes,350000,$-,$-,"$2,150",$-,"$7,500",$172,$290,360112,139637,28083,"$83,811",81849,,,26029,903,639,4711,208,379,366249
Court-Livingston-Schermerhorn,BK,28020,3,2,2,1,Do Not Track,191,29,220,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,30526,780,73000,108,Yes,Contracted,Monitoring security cameras; Street patrol; Coordination with NYPD,4160,11177,Yes,6,312,110,0,198,5,47,6 Branded boxes,2,Yes,"Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media",35532,0,0,0,Yes,907020,$-,$-,$-,$-,$-,"$3,071",$-,910091,539849,136696,"$61,792",118416,,70840,42407,29770,13266,9552,7934,128922,1159444
47th Street,MN,1930,1,2,5,0,2600,50,35,85,Yes,Contracted,Street Sweeping and Bagging; Graffiti Removal; Gum Removal; Street Furniture Maintenance,6,2860,"2,550",9500,14,Yes,Contracted,Street patrol; Coordination with NYPD,16676,0,Yes,18,0,0,3,0,0,27,10,0,Yes,Print advertising (i.e. local newspaper); Door-to-door visits; Flyers; Email bulletins,0,96250,5,350,No,900000,$-,"$42,400","$395,076",$-,$-,$-,$-,1337476,75701,716436,"$150,254",22754,89078,,48374,,12000,1831,10663,,1127091
Downtown Alliance,MN,121820,55,60,63,24,don't track,1300,0,0,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,127720,"2,096",136260,406,Yes,Contracted,Street patrol; Coordination with NYPD,122596,977898,Yes,242,9,0,1,"1 (clock), 64 seasonal tables and 228 chairs in public spaces","666 (Round sign poles, wayfinding plaques, orientation columns, street name signs, terra cotta city street signs, illuminated street name signs, Heritage Tail Marker with map and without map, park signs, no skate sign)",110,"57 (bike bollards, hydrant bollards, standard bollards)",10,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Flyers; Email bulletins; Social media",70575,558700,30,50000,No,20400000,"$1,634,500","$829,500","$200,500","$130,000","$7,500","$99,500","$640,000",23941500,4595500,4271500,"$2,689,000",563500,5588500,110000,1683000,319500,133000,514500,95500,211500,20775000
Downtown Flushing Transit Hub,QN,11110,3,7,0,2,1100,500,3,503,Yes,In-house,Street Sweeping and Bagging; Snow and Ice Removal,7,20000,580,90000,80,No,,,,,Yes,0,107,60,1,0,1,0,0,2,Yes,"Digital advertising (i.e. Google, Facebook, Instagram ads); Social media",3044,32000,9,30000,No,380000,$-,$-,$-,"$147,782","$462,220","$1,197",$-,991199,436848,,"$128,662",10105,65000,,287456,27038,19614,28298,5122,5365,1013508
DUMBO Improvement District,BK,36680,4,10,0,10,1300,209,6,215,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,16562,275,38480,55,No,,,,,Yes,36,11,84,8,120,6,0,0,4,No,"Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Flyers; Email bulletins; Social media",78300,17350,126,100000,Yes,1035000,"$81,773","$173,290","$126,925",$-,"$22,427",$-,$-,1439415,251124,,"$575,278",74423,154639,,105951,21780,9550,6798,3151,1843,1204537
East Brooklyn,BK,54560,0,0,0,7,223,62,8,70,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal,3,2216,-,1382,0,No,,,,,Yes,0,20,14,1,0,0,0,0,1,No,Print advertising (i.e. local newspaper); Direct mailings; Door-to-door visits; Flyers; Email bulletins,0,678,5,1600,Yes,142500,$-,$-,$-,$-,$-,$-,"$2,300",144800,37436,,"$10,152",,25724,,55369,4000,1354,4500,250,2114,140898
East Midtown Partnership,MN,49480,3,44,7,1,3000,775,87,862,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,63380,675,140636,280,Yes,Contracted,Street patrol; Coordination with NYPD,14566,12922,Yes,10,115,35,0,0,0,0,600,1,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Email bulletins; Social media",6822,26500,8,10900,No,3500000,$-,$-,$-,$-,$-,$839,$551,3501390,940918,393100,"$338,422",179899,87623,,535518,20278,25379,132610,77955,,2731702
Fulton Area Business (FAB) Alliance,BK,20400,2,5,0,1,227,213,23,236,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,8461,"2,125",72500,115,Yes,In-house,Crime prevention workshops; Coordination with NYPD,78,0,Yes,48,182,41,0,35,0,0,32,5,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",8029,71820,33,4000,Yes,450000,$-,"$21,250",$-,$-,"$122,663",$433,$-,594346,209077,5970,"$255,802",51049,,,25564,2438,1158,12875,332,1311,565576
Fifth Avenue,MN,22220,7,8,25,0,1300,126,21,147,Yes,In-house,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,16640,200,62000,78,Yes,In-house,Street patrol; Coordination with NYPD,45000,230000,No,,,,,,,,,,Yes,,0,0,0,0,Yes,3207000,$-,$-,$-,$-,"$18,000","$3,691","$2,043",3230734,767500,2004778,$-,87930,1683,,164140,196288,12757,91844,13363,15248,3355531
Flatbush Avenue,BK,7480,0,2,2,4,279,283,69,352,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal,7,4488,"2,015",78000,72,Yes,Contracted,Street patrol; Coordination with NYPD,2898,1300,No,,,,,,,,,,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media",1929,7725,10,29200,No,386000,$-,"$27,877",$-,$-,$-,$366,$-,414243,115284,94596,"$51,599",,,,101872,27500,9559,6184,824,8737,416155
Flatbush-Nostrand Junction,BK,9110,1,3,1,1,180,250,7,255,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal,7,4848,44,20922,14,Yes,Contracted,,240,48,No,,,,,,,,,,Yes,"Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media",650,4500,12,1000,No,200000,"$44,700",$-,"$10,000",$-,"$22,000","$1,300",$-,278000,118300,9000,"$36,000",,,,110000,38000,5000,,3000,3000,322300
Flatiron/23rd Street Partnership,MN,47610,5,23,8,2,5100,537,43,580,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,46949,"20,282",185305,196,Yes,Contracted,Street patrol; Coordination with NYPD,16510,11212,Yes,263,178,90,2,277,1,0,93,4,No,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",35819,107930,97,6500,Yes,2750000,"$70,100",$-,"$633,149",$-,$-,"$37,445",$-,3490694,1146013,490547,"$530,048",672373,145788,,56796,98269,42577,128768,9975,41549,3362703
Fordham Road,BX,16220,3,8,0,5,323,214,16,230,Yes,Contracted,Street Sweeping and Bagging; Graffiti Removal; Street Furniture Maintenance,7,15288,153,92400,100,No,,,,,Yes,30,0,10,0,0,0,0,0,0,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Door-to-door visits; Flyers; Social media; LinkNYC advertising (more info)",6210,34000,46,52500,No,914250,$-,$-,"$59,614",$-,"$73,393",$125,$-,1047382,377288,,"$177,773",17982,,,328356,16431,10767,35951,4746,13861,983155
Forest Avenue,SI,8190,0,1.5,0,0,149,135,2,137,Yes,Contracted,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal,7,2569,840,18000,60,No,,,,,Yes,0,50,27,0,0,0,0,0,0,Yes,"Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Flyers; Email bulletins; Social media",2684,6500,3,6000,No,165000,$-,$-,$-,"$12,390","$15,200",$100,$-,192690,64136,,"$49,366",7725,1000,,,61600,2331,,,3466,189623
Fulton Mall Improvement Association,BK,16300,7,2,10,1,Do Not Track,176,9,185,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,45562,780,73000,113,Yes,Contracted,Monitoring security cameras; Street patrol; Coordination with NYPD,20800,4,Yes,4,145,49,1,207,10,27,1,1,Yes,"Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media",35532,0,14,2244,Yes,2004456,"$22,647","$33,436",$-,"$15,000",$-,"$1,275",$-,2076813,669647,570049,"$153,475",194160,,,94230,124813,127765,23542,18386,136608,2112673
Garment District,MN,44000,15,39,22,3,6500,1040,119,1159,Yes,Both or Other,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,78087,"3,349",112458,122,Yes,In-house,Street patrol; Coordination with NYPD,57100,130240,Yes,168,104,101,10,660,10,372,414,5,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",18639,26500,25,1000000,Yes,8800000,$-,"$205,893",$-,$-,$-,$-,$-,9005893,3591211,1792045,"$364,017",792926,61993,,1656087,,149741,513551,29096,257943,9208610
Gateway JFK,QN,19611,1,3,0,0,600,42,6,48,Yes,Contracted,Street Sweeping and Bagging; Graffiti Removal,1,728,16,891,11,No,,,,,Yes,0,0,24,0,0,0,0,0,0,Yes,Print advertising (i.e. local newspaper); Direct mailings; Door-to-door visits; Flyers; Email bulletins,0,1900,4,300,Yes,500000,$-,$-,$-,$-,$-,$-,$-,500000,40000,,"$29,500",16000,15000,,80100,7500,4000,15000,6050,13750,226900
Graham Avenue,BK,9810,1,3,0,4,140,122,18,140,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,2720,65,21000,45,Yes,In-house,Crime prevention workshops; Traffic mitigation; Coordination with NYPD,200,0,Yes,0,28,26,1,3,0,,12,1,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",210,2200,31,22000,No,180000,$-,"$3,600",$-,"$4,959","$5,000",$-,$-,193559,57999,,"$25,123",,,,56039,5500,4823,22274,772,400,172929
Grand Central Partnership,MN,73960,33,60,32,6,I Don't Know,822,96,918,Yes,Both or Other,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,105765,"2,405",160190,291,Yes,Both or Other,Crime prevention workshops; Street patrol; Traffic mitigation; Coordination with NYPD,59544,370700,Yes,622,225,200,0,14,2001,1693,866,0,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media",11113,21156,56,7654,Yes,12709372,$-,"$291,383",$-,$-,$-,"$281,846","$439,932",13722533,3832333,2859818,"$982,998",1560788,2164469,2784768,1093036,62400,47882,270529,26993,122159,15808173
Grand Street,BK,7770,2,2,0,1,185,185,27,212,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Gum Removal,7,2800,159,5700,17,No,,,,,Yes,0,39,27,7,4,3,0,128,0,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",3504,3403,10,3000,Yes,226460,$-,"$1,524","$66,000",$-,"$78,000",$106,$-,372090,65690,,"$38,287",28170,66000,1769,132602,6814,2367,19883,7372,2694,371648
Hudson Square Connection,MN,39012,8,0,0,0,1000,132,37,169,No,,,,,,,,No,,,,,Yes,41.5,250,60,6,21,3,3,341,7,Yes,"Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",7210,9260,39,2685,Yes,2500000,$-,"$34,517",$-,$-,$-,"$19,839",$791,2555147,,,"$687,485",1303245,144662,47815,99475,93282,12159,114657,39770,,2542550
Hudson Yards/Hells Kitchen Alliance,MN,46700,5,9,4,2,241,132,12,144,Yes,Both or Other,Street Sweeping and Bagging; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,14832,"7,150",60800,88,Yes,Contracted,Monitoring security cameras; Street patrol; Coordination with NYPD,7520,1000,Yes,122,363,50,3,360,1,5,20,6,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media",2613,2400,130,2000,Yes,1400000,"$36,440","$23,701",$504,$-,"$22,000","$2,323","$1,633",1486601,440129,135796,"$157,779",121379,,154604,467695,,38096,71328,38714,63104,1688624
Jamaica Center,QN,9880,4,9,0,0,424,314,28,342,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal,7,18756,"20,352",47245,101,No,,,,,Yes,0,0,53,1,0,0,0,0,1,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",16595,8000,7,100,Yes,1017500,$-,"$13,150",$-,$-,"$115,000","$1,452",$-,1147102,412570,,"$59,167",14575,28113,,317770,30150,184073,51892,14625,11121,1124056
Jerome-Gun Hill,BX,8070,0,2,0,4,230,210,20,230,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal,7,2968,520,65000,63,Yes,Both or Other,Monitoring security cameras; Coordination with NYPD,0,25,Yes,10,121,25,1,0,0,0,0,1,Yes,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media",1778,3250,13,5000,No,259000,$-,$-,$-,"$21,567","$73,700",$-,$-,354267,129783,25453,"$97,142",35607,29602,,29000,5360,6093,630,,10232,368902
Kings Highway,BK,7680,1,2,0,4,225,216,9,225,Yes,Contracted,Street Sweeping and Bagging; Power Washing; Graffiti Removal,6,4992,"1,500",65000,25,No,,,,,No,,,,,,,,,,Yes,Print advertising (i.e. local newspaper); Email bulletins; Social media,5120,7500,0,0,No,350000,$-,$-,$-,$-,$-,$-,"$3,500",353500,135252,,"$65,000",,,,102520,19125,2312,22681,5715,6967,359572
