BID Name:,Borough,Service Area (Linear Feet),Full-time staff,Sanitation staff employed,Public Safety staff employed,Part-time staff,"Individual businesses (retail, restaurant, office, etc.)",Occupied storefronts,Vacant storefronts,Total storefronts,BID provides supplemental sanitation services,Type of sanitation services,Types of duties assigned to sanitation workers,Days per week of sanitation services,Hours logged by sanitation workers,Incidents of graffiti removed,Trash bags collected,Trash and recycling receptacles serviced,BID provides supplemental public safety services,Type of public safety services,Duties assigned to public safety personnel,Hours logged by public safety officers,Interactions with public safety officers,BID provides supplemental streetscape and beautification services,Planters maintained,Tree pits maintained,Banners maintained,Public art installations sponsored,Street furniture elements maintained,Wayfinding elements maintained,Lighting elements maintained,Other infrastructure elements maintained,Public spaces maintained,BID has holiday lighting program,Communication channels used,Social media followers,Marketing materials distributed,Public events coordinated,Estimated attendees to public events coordinated,Allocates staff salaries,Assessment revenue,Contract revenue,Contributions,Fundraising and special event revenue,Government grants,Program service revenue,Interest income,Miscellaneous income,Total support and revenue,Sanitation expenses,Public safety expenses,"Marketing, holiday lighting, and special event expenses",Streetscape & beautification expenses,Other program expenses,Capital improvement expenses,Salaries,Outside contractor expenses,Insurance costs,Rent and utilities,Supplies and equipment costs,Other G&A expenses,Total expenses,Unnamed Column,Unnamed Column 1,Unnamed Column 2,Unnamed Column 3,Unnamed Column 4,Unnamed Column 5,Unnamed Column 6,Unnamed Column 7,Unnamed Column 8
Garment District,MN,44000,16,39,22,3,6100,695,45,740,true,Both or Other (please explain),Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,97122,3744,123004,121,true,In-house,Street patrol; Coordination with NYPD,57080,130056,true,155,115,101,16,695,20,345,414,5,true,"Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Flyers; Email bulletins; Social media","15,895",52600,18,1000000,true,8800000,,,,,177643,,,8977643,3258550,1724569,314345,"$1,182,295",67709,,1574357,,144427,456416,51835,223248,8997751,,,,,,,,,
Gateway JFK,QN,19611,1,0,0,0,600,40,8,48,false,,,,,,,,false,,,,,false,,,,,,,,,,false,Direct mailings; Door-to-door visits; Email bulletins,-,2850,1,150,true,500000,,,,,,,,500000,,,4750,$-,,,40000,77000,13200,9000,7000,4050,155000,,,,,,,,,
Graham Avenue,BK,9810,1,3,0,3,140,136,13,149,true,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,2720,50,20800,45,true,In-house,Traffic mitigation; Coordination with NYPD,365,,true,,28,26,1,3,,,12,1,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)",280,1000,37,20000,false,137638,,667,13742,34588,4500,,2265,193400,58321,,18645,$-,7786,,56285,7059,4915,20847,536,513,174907,,,,,,,,,
Grand Central Partnership,MN,73960,27,58,35,4,I Don't Know,828,83,911,true,Both or Other (please explain),Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal,7,106606,1334,185053,290,true,Both or Other (please explain),Crime prevention workshops; Street patrol; Traffic mitigation; Coordination with NYPD,62906,284840,true,601,224,200,2,15,762,1218,428,,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media","8,248",17512,4,7500,true,12709372,,,,,246163,186374,421891,13563800,3449795,2558851,1526637,"$2,044,498",2233238,,1094913,60805,39136,426132,26415,102318,13562738,,,,,,,,,
Grand Street,BK,7770,2,2,0,1,169,202,33,235,true,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Gum Removal,7,2800,360,5300,12,false,,,,,true,,39,27,,4,30,,39,,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)","3,247",18060,9,4500,true,226460,,,,39451,433,112,39275,305731,75765,,84978,"$42,558",48719,,47261,5773,709,6130,2714,5988,320595,,,,,,,,,
Hudson Square Connection,MN,24950,7,0,0,4,>1000,92,16,108,false,,,,,,,,false,,,,,true,30,250,50,3,10,3,,341,6,true,"Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)","7,035",3250,35,2000,true,2500000,,,,,19532,19743,,2539275,,,647659,"$1,188,076",106580,1686481,89756,108576,17734,112527,29429,39993,4026811,,,,,,,,,
Hudson Yards/Hells Kitchen Alliance,MN,46700,5,6,1,3,262,262,20,282,true,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,8760,4425,46500,73,true,Contracted,Street patrol,2920,,true,78,200,40,3,18,,,,5,true,"Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Social media; LinkNYC advertising (more info)",967,1500,15,800,true,1300000,38500,261929,,22000,47800,1993,4956,1677178,370810,80241,41108,"$184,713",,121279,408100,44899,50469,69948,50650,36433,1458650,,,,,,,,,
Jamaica Center,QN,9880,2,8,0,1,420,373,47,420,true,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Gum Removal; Street Furniture Maintenance,7,17520,16200,114000,100,false,,,,,true,,,52,,,,,,1,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)","15,434",5150,10,1000,false,917500,,,,19999,4260,672,650,943081,371370,,63163,$-,,10949,128726,84746,186047,45770,11281,9731,911783,,,,,,,,,
Jerome-Gun Hill,BX,8070,0,2,0,1,220,201,19,220,true,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal,7,2968,520,65000,63,true,Both or Other (please explain),Monitoring security cameras; Coordination with NYPD,,15,true,10,121,,1,,,,,1,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Door-to-door visits; Flyers; Email bulletins; Social media","1,313",1850,12,5000,false,259000,23361,,20000,,,,,302361,115630,93,43173,"$24,300",40830,,29000,10284,7743,140,1500,1667,274360,,,,,,,,,
Kings Highway,BK,7680,1,2,0,2,302,298,4,302,true,Contracted,Street Sweeping and Bagging; Power Washing; Graffiti Removal; Gum Removal,6,4000,2500,42000,30,false,,,,,false,,,,,,,,,,true,"Digital advertising (i.e. Google, Facebook, Instagram ads); Email bulletins; Social media","5,250",2000,,,false,350000,,,,,8575,104,,358679,105067,,65719,$-,,,104332,22025,3659,21917,9050,12762,344531,,,,,,,,,
Kingsbridge,BX,13140,1,4,0,1,185,188,13,201,true,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal,7,6540,683,29000,68,false,,,,,true,4,128,48,,11,,,6,2,false,Print advertising (i.e. local newspaper); Direct mailings; Door-to-door visits; Flyers; Email bulletins,-,16846,,,false,329000,,,,,,495,,329495,144600,,43818,"$22,663",,,87094,10250,1089,22222,3408,1003,336147,,,,,,,,,
Lincoln Square,MN,28680,6,15,10,12,241,209,15,224,true,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,33044,504,77939,135,true,Contracted,Street patrol; Coordination with NYPD,17796,21171,true,84,,144,,480,5,,,15,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)","4,712",288232,12,22000,true,2400000,,442182,,10500,,742,,2853424,880868,515656,644367,"$264,008",113530,,124508,52842,11561,129414,11795,69750,2818299,,,,,,,,,
Long Island City Partnership,QN,25460,2,6,1,3,225,200,25,225,true,Contracted,Street Sweeping and Bagging; Power Washing; Snow and Ice Removal; Graffiti Removal; Street Furniture Maintenance,7,14144,159,53000,93,true,In-house,Crime prevention workshops; Street patrol; Coordination with NYPD,500,25,true,87,21,100,1,79,2,,36,4,true,"Print advertising (i.e. local newspaper); Digital advertising (i.e. Google, Facebook, Instagram ads); Direct mailings; Door-to-door visits; Flyers; Email bulletins; Social media; LinkNYC advertising (more info)","9,682",5790,5,16000,true,800000,,,22075,,5000,732,19037,846844,372148,54274,49526,"$200,589",14835,,42039,16344,4201,,,43428,797383,,,,,,,,,
